unit_number,Letzter_Zyklus,Actual_RUL,Predicted_RUL,Health_Status
91,135,0,1.38,Kritisch
77,154,0,3.9233333333333333,Kritisch
45,158,0,1.14,Kritisch
19,158,0,1.01,Kritisch
13,163,0,1.4266666666666667,Kritisch
74,166,0,3.12,Kritisch
23,168,0,2.3733333333333335,Kritisch
40,188,0,1.3333333333333333,Kritisch
32,191,0,0.7233333333333334,Kritisch
1,192,0,4.316666666666666,Kritisch
34,195,0,1.6766666666666667,Kritisch
71,208,0,1.2233333333333334,Kritisch
78,231,0,1.66,Kritisch
31,234,0,3.4566666666666666,Kritisch
11,240,0,4.24,Kritisch
81,240,0,1.77,Kritisch
46,256,0,1.06,Kritisch
54,257,0,1.52,Kritisch
84,267,0,1.3433333333333333,Kritisch
5,269,0,1.01,Kritisch
