unit_number,time_in_cycles,sensor_11,sensor_4,sensor_15,sensor_2,sensor_17,sensor_3,sensor_8,sensor_13,sensor_9,sensor_14,sensor_20,sensor_21,sensor_7,sensor_12
1,1,47.47,1400.6,8.4195,641.82,392,1589.7,2388.06,2388.02,9046.19,8138.62,39.06,23.419,554.36,521.66
1,2,47.49,1403.14,8.4318,642.15,392,1591.82,2388.04,2388.07,9044.07,8131.49,39.0,23.4236,553.75,522.28
1,3,47.27,1404.2,8.4178,642.35,390,1587.99,2388.08,2388.03,9052.94,8133.23,38.95,23.3442,554.26,522.42
1,4,47.13,1401.87,8.3682,642.35,392,1582.79,2388.11,2388.08,9049.48,8133.83,38.88,23.3739,554.45,522.86
1,5,47.28,1406.22,8.4294,642.37,393,1582.85,2388.06,2388.04,9055.15,8133.8,38.9,23.4044,554.0,522.19
1,6,47.16,1398.37,8.4108,642.1,391,1584.47,2388.02,2388.03,9049.68,8132.85,38.98,23.3669,554.67,521.68
1,7,47.36,1397.77,8.3974,642.48,392,1592.32,2388.02,2388.03,9059.13,8132.32,39.1,23.3774,554.34,522.32
1,8,47.24,1400.97,8.4076,642.56,391,1582.96,2388.0,2388.03,9040.8,8131.07,38.97,23.3106,553.85,522.47
1,9,47.29,1394.8,8.3728,642.12,392,1590.98,2388.05,2388.05,9046.46,8125.69,39.05,23.4066,553.69,521.79
1,10,47.03,1400.46,8.4286,641.71,393,1591.24,2388.05,2388.06,9051.7,8129.38,38.95,23.4694,553.59,521.79
1,11,47.15,1400.64,8.434,642.28,392,1581.75,2388.05,2388.01,9049.61,8140.58,38.94,23.4787,554.54,521.4
1,12,47.18,1400.15,8.3938,642.06,391,1583.41,2388.09,2388.02,9049.37,8134.25,39.06,23.366,554.52,521.8
1,13,47.38,1400.83,8.4152,643.07,393,1582.19,2388.12,2388.08,9046.82,8128.1,38.93,23.2757,553.44,521.85
1,14,47.44,1399.16,8.3964,642.35,393,1592.95,2388.09,2388.0,9047.37,8134.43,39.18,23.3826,554.48,521.67
1,15,47.3,1402.13,8.4199,642.43,391,1583.82,2388.11,2388.08,9052.22,8127.56,38.99,23.35,553.64,522.5
1,16,47.24,1404.5,8.3936,642.13,392,1587.98,2388.05,2388.07,9049.34,8136.11,38.97,23.455,553.94,521.49
1,17,47.12,1399.95,8.4542,642.58,392,1584.96,2388.06,2388.04,9054.92,8137.27,38.81,23.3319,553.8,521.89
1,18,47.21,1396.12,8.4028,642.62,392,1591.04,2388.05,2388.07,9049.55,8132.73,38.89,23.3987,554.2,521.76
1,19,47.4,1400.35,8.4321,641.79,391,1587.56,2388.04,2388.03,9053.99,8129.13,38.8,23.3464,554.18,521.89
1,20,47.22,1405.23,8.421,643.04,392,1581.11,2388.05,2388.02,9045.9,8129.71,39.03,23.422,554.81,522.07
1,21,47.15,1398.13,8.4049,642.37,392,1586.07,2388.11,2388.08,9048.15,8134.02,39.09,23.3101,554.08,522.42
1,22,47.24,1400.57,8.4034,642.77,392,1592.93,2388.04,2388.03,9061.21,8130.41,38.92,23.3792,553.63,522.0
1,23,47.25,1394.75,8.424,642.14,392,1588.19,2388.05,2388.05,9046.28,8127.9,38.94,23.4562,553.98,521.52
1,24,47.44,1398.81,8.3891,642.38,392,1590.83,2388.12,2388.03,9043.76,8133.88,39.0,23.3696,553.49,522.13
1,25,47.36,1399.39,8.3917,642.77,393,1594.1,2388.02,2388.02,9054.16,8136.61,38.95,23.4288,554.0,522.56
1,26,47.26,1396.07,8.426,642.16,394,1589.08,2388.07,2388.06,9047.11,8131.15,38.86,23.4149,554.11,522.28
1,27,47.37,1401.84,8.4046,642.44,393,1590.47,2388.02,2388.13,9047.96,8134.6,38.99,23.4472,554.07,522.0
1,28,47.41,1399.13,8.4323,642.35,390,1582.84,2388.12,2388.08,9049.84,8127.3,39.01,23.2841,554.68,522.57
1,29,47.24,1400.99,8.4189,641.91,393,1584.83,2388.05,2388.06,9050.47,8133.06,38.93,23.3597,554.25,522.41
1,30,47.4,1396.08,8.4065,642.2,390,1593.52,2388.07,2388.0,9045.62,8137.86,39.05,23.411,554.37,522.19
1,31,47.41,1396.9,8.4104,642.02,392,1584.18,2388.08,2388.06,9058.78,8125.28,38.94,23.3353,554.13,521.95
1,32,47.25,1400.36,8.4148,642.33,392,1591.38,2388.04,2388.07,9050.97,8129.7,39.02,23.4999,554.96,521.92
1,33,47.28,1402.43,8.3753,642.71,392,1588.4,2388.04,2388.08,9047.13,8134.42,38.83,23.3506,554.61,521.91
1,34,47.47,1400.48,8.4349,642.54,392,1581.47,2388.03,2388.09,9046.46,8126.61,38.81,23.3092,554.3,521.7
1,35,47.31,1403.0,8.443,642.44,391,1590.0,2388.04,2388.01,9045.76,8140.17,39.13,23.4164,554.3,521.75
1,36,47.25,1405.54,8.4246,642.54,392,1581.72,2388.01,2388.04,9044.56,8132.48,38.86,23.4308,554.53,522.32
1,37,47.29,1398.9,8.4142,641.99,392,1579.11,2388.07,2388.04,9055.44,8131.95,38.99,23.4352,554.63,522.29
1,38,47.27,1399.5,8.4158,641.93,392,1589.6,2388.08,2388.08,9055.27,8136.61,39.06,23.4768,554.7,522.42
1,39,47.12,1400.69,8.414,642.01,392,1583.21,2388.02,2388.05,9051.76,8131.81,38.7,23.3699,553.97,522.23
1,40,47.33,1401.77,8.3784,642.24,392,1582.08,2388.06,2388.01,9052.98,8131.03,38.84,23.3769,554.57,521.84
1,41,47.09,1403.21,8.437,642.4,392,1591.31,2388.06,2388.03,9048.99,8138.08,39.13,23.4444,553.72,522.07
1,42,47.49,1401.38,8.4137,642.12,392,1584.66,2388.08,2388.05,9057.06,8130.88,39.0,23.375,553.94,522.23
1,43,47.32,1406.05,8.4068,642.24,392,1591.52,2388.03,2388.09,9057.88,8127.22,38.99,23.3148,553.68,522.74
1,44,47.45,1401.2,8.4201,641.93,392,1586.94,2388.04,2388.0,9046.87,8131.45,39.06,23.4753,554.15,522.3
1,45,47.45,1399.16,8.4099,642.53,393,1582.42,2388.08,2388.05,9060.32,8128.31,38.79,23.3943,553.83,521.73
