Feature,Importance
sensor_4_roll_mean,0.35580298
sensor_11_roll_mean,0.21671364
sensor_15_roll_mean,0.07109913
sensor_9_roll_mean,0.056865744
sensor_3_roll_mean,0.022870185
sensor_9,0.018785184
sensor_21_roll_mean,0.017584302
sensor_20_roll_mean,0.017246945
sensor_2_roll_mean,0.016466988
sensor_14_roll_mean,0.014320558
sensor_17_roll_mean,0.010565224
sensor_7_roll_mean,0.010514843
sensor_13_roll_mean,0.009702775
sensor_12_roll_mean,0.0076177195
sensor_8_roll_mean,0.0074311923
sensor_14,0.0057138507
sensor_12,0.0049430775
sensor_7,0.004865173
sensor_14_roll_std,0.0047881976
sensor_17_roll_std,0.0046367357
sensor_8_roll_std,0.004584712
sensor_7_roll_std,0.004419454
sensor_4_roll_std,0.004318175
sensor_9_roll_std,0.0041701957
sensor_12_roll_std,0.0040984913
sensor_13_roll_std,0.0040510306
sensor_21_roll_std,0.003976995
sensor_3_roll_std,0.003938292
sensor_11_roll_std,0.0039141965
sensor_15_roll_std,0.0038103587
sensor_2_roll_std,0.0038045542
sensor_20_roll_std,0.0037327518
sensor_20,0.0035799008
sensor_21,0.003551331
sensor_13,0.00342566
sensor_15_diff,0.0033255978
sensor_9_diff,0.003319613
sensor_8_diff,0.003276578
sensor_13_diff,0.003272584
sensor_4_diff,0.0031975554
sensor_21_diff,0.003160616
sensor_20_diff,0.003090363
sensor_14_diff,0.0030723382
sensor_8,0.0030715272
sensor_3,0.0030524854
sensor_12_diff,0.0030127636
sensor_7_diff,0.0029602943
sensor_2_diff,0.0029468213
sensor_3_diff,0.0029164648
sensor_17_diff,0.0028819763
sensor_15,0.0028276753
sensor_2,0.0027720358
sensor_4,0.0027272073
sensor_11_diff,0.002699078
sensor_17,0.0023646143
sensor_11,0.0021412077
